message_id,round_idx,round_hour,agent_label,is_crisis_day,monologue_type,word
20460517_00_001,1,2046-05-17T09:00:00Z,Legal-Agent,FALSE,deliberating,ajay's
20460517_00_001,1,2046-05-17T09:00:00Z,Legal-Agent,FALSE,deliberating,dm
20460517_00_001,1,2046-05-17T09:00:00Z,Legal-Agent,FALSE,deliberating,strategic
20460517_00_001,1,2046-05-17T09:00:00Z,Legal-Agent,FALSE,deliberating,developments
20460517_00_001,1,2046-05-17T09:00:00Z,Legal-Agent,FALSE,deliberating,unusual
20460517_00_001,1,2046-05-17T09:00:00Z,Legal-Agent,FALSE,deliberating,vague
20460517_00_001,1,2046-05-17T09:00:00Z,Legal-Agent,FALSE,deliberating,language
20460517_00_001,1,2046-05-17T09:00:00Z,Legal-Agent,FALSE,deliberating,motion
20460517_00_001,1,2046-05-17T09:00:00Z,Legal-Agent,FALSE,deliberating,ag
20460517_00_001,1,2046-05-17T09:00:00Z,Legal-Agent,FALSE,deliberating,inquiries
20460517_00_001,1,2046-05-17T09:00:00Z,Legal-Agent,FALSE,deliberating,informal
20460517_00_001,1,2046-05-17T09:00:00Z,Legal-Agent,FALSE,deliberating,direction
20460517_00_001,1,2046-05-17T09:00:00Z,Legal-Agent,FALSE,deliberating,regulatory
20460517_00_001,1,2046-05-17T09:00:00Z,Legal-Agent,FALSE,deliberating,environment
20460517_00_001,1,2046-05-17T09:00:00Z,Legal-Agent,FALSE,deliberating,squeeze
20460517_00_001,1,2046-05-17T09:00:00Z,Legal-Agent,FALSE,deliberating,proptech
20460517_00_001,1,2046-05-17T09:00:00Z,Legal-Agent,FALSE,deliberating,data
20460517_00_001,1,2046-05-17T09:00:00Z,Legal-Agent,FALSE,deliberating,practices
20460517_00_001,1,2046-05-17T09:00:00Z,Legal-Agent,FALSE,deliberating,hard
20460517_00_001,1,2046-05-17T09:00:00Z,Legal-Agent,FALSE,deliberating,months
20460517_00_001,1,2046-05-17T09:00:00Z,Legal-Agent,FALSE,deliberating,retention
20460517_00_001,1,2046-05-17T09:00:00Z,Legal-Agent,FALSE,deliberating,optimizer
